K01317	ACR
K01318	sspA
K01319	CTSG
K01320	F7
K01321	F9
K01322	PREP
K01323	F11
K01324	KLKB1
K01325	KLK1_2
K01326	CELA1
K01327	ELANE
K01328	F12
K01329	CMA1
K01330	C1R
K01331	C1S
K01332	C2
K01333	CFI
K01334	CFD
K01335	CFB
K01336	PRB1
K01337	E3.4.21.50
K01338	lon
K01339	KLK16
K01340	E3.4.21.59
K01341	KEX2
K01342	aprE
K01343	PLAT
K01344	PROC
K01345	CELA3
K01346	CELA2
K01347	iga
K01348	PLAU
K01349	FURIN, PCSK3
K01350	PRTN3
K01351	KLK3, PSA
K01352	GZMA
K01353	GZMB
K01354	ptrB
K01355	ompT
K01356	lexA
K01357	WNT10
K01358	clpP, CLPP
K01359	PCSK1
K01360	PCSK2
K01361	E3.4.21.96
K01362	OVCH
K01363	CTSB
K01364	speB
K01365	CTSL
K01366	CTSH
K01367	CAPN1
K01368	CTSS
K01369	LGMN
K01370	CASP1
K01371	CTSK
K01372	BLMH, pepC
K01373	CTSF
K01374	CTSO
K01375	CTSL2, CTSV
K01376	UFSP2
K01377	PGC
K01378	CYM
K01379	CTSD
K01380	REN
K01381	PEP4
K01382	CTSE
K01383	BAR1
K01384	WNT11
K01385	E3.4.23.42
K01386	E3.4.23.23
K01387	colA
K01388	MMP1
K01389	MME, CD10
K01390	iga
K01392	THOP1
K01393	NLN
K01394	MMP3
K01395	MEP1A
K01396	MMP10
K01397	MMP7
K01398	MMP2
K01399	lasB
K01400	nprE
K01401	aur
K01402	MMP8
K01403	MMP9
K01404	GP63
K01405	PRD1
K01406	prtC
K01407	ptrA
K01408	IDE, ide
K01409	OSGEP, KAE1, QRI7
K01410	MIPEP
K01411	NRD1
K01412	PMPCA, MAS2
K01413	MMP12
K01414	prlC
K01415	ECE
K01416	snpA
K01417	MEP
K01419	hslV, clpQ
K01420	fnr
K01421	yhgE
K01422	AXL1
K01423	bepA
K01424	E3.5.1.1, ansA, ansB
K01425	glsA, GLS
K01426	E3.5.1.4, amiE
K01427	URE
K01428	ureC
K01429	ureB
K01430	ureA
K01431	UPB1, pydC
K01432	AFMID
K01433	purU
K01434	pac
K01435	BTD
K01436	yhaA
K01437	ASPA, aspA
K01438	argE
K01439	dapE
K01440	PNC1
K01441	ACER1_2, ASAH3
K01442	cbh
K01443	nagA, AMDHD2
K01444	AGA, aspG
K01446	PGRP
K01447	xlyAB
K01448	amiABC
K01449	cwlJ, sleB
K01451	hipO
K01452	E3.5.1.41
K01453	nylB
K01455	E3.5.1.49
K01456	E3.5.1.52, NGLY1, PNG1
K01457	atzF
K01458	hutG
K01459	E3.5.1.77
K01460	gsp
K01461	E3.5.1.82
K01462	PDF, def
K01463	bshB1
K01464	DPYS, dht, hydA
K01465	URA4, pyrC
K01466	allB
K01467	ampC
K01468	hutI, AMDHD1
K01469	OPLAH, OXP1, oplAH
K01470	E3.5.2.10
K01471	nylA
